index,year,lsoa21,total_residents,total_Active,unemployed,total_households,Overcrowded,Owned,no_car,updated
Townsend,2021,E01008994,1339,682,75,645,29,290,234,NA
Townsend,2021,E01008995,1838,765,108,905,114,107,476,NA
Townsend,2021,E01008996,1377,607,76,677,103,191,299,NA
Townsend,2021,E01008997,1242,709,64,630,27,339,168,NA
Townsend,2021,E01008998,1418,674,83,650,83,314,226,NA
Townsend,2021,E01008999,1249,653,45,522,57,344,121,NA
Townsend,2021,E01009000,1496,786,83,846,62,294,426,NA
Townsend,2021,E01009001,1331,780,44,721,37,495,156,NA
Townsend,2021,E01009002,1367,688,82,786,94,244,373,NA
Townsend,2021,E01009003,1526,798,46,689,34,451,190,NA
Townsend,2021,E01009005,1368,805,44,728,36,403,191,NA
Townsend,2021,E01009006,1287,861,63,746,36,419,233,NA
Townsend,2021,E01009007,1496,920,90,904,78,221,469,NA
Townsend,2021,E01009008,1214,719,28,598,19,465,130,NA
Townsend,2021,E01009009,1221,700,38,632,30,420,137,NA
Townsend,2021,E01009011,1431,820,59,795,29,475,203,NA
Townsend,2021,E01009012,1220,744,41,606,24,446,113,NA
Townsend,2021,E01009013,1684,932,100,902,50,405,379,NA
Townsend,2021,E01009014,1864,936,111,813,111,444,198,NA
Townsend,2021,E01009015,1478,809,83,792,56,379,298,NA
Townsend,2021,E01009016,1332,650,60,725,55,293,319,NA
Townsend,2021,E01009017,1344,632,51,485,65,342,89,NA
Townsend,2021,E01009018,1564,790,75,722,51,418,235,NA
Townsend,2021,E01009019,1282,648,89,605,90,280,189,NA
Townsend,2021,E01009020,1189,655,71,560,66,330,156,NA
Townsend,2021,E01009021,1232,744,73,678,68,275,246,NA
Townsend,2021,E01009022,1365,776,66,589,55,388,112,NA
Townsend,2021,E01009023,1298,740,45,557,38,445,60,NA
Townsend,2021,E01009024,1276,716,54,618,84,290,173,NA
Townsend,2021,E01009025,1157,651,53,575,57,287,182,NA
Townsend,2021,E01009026,1398,762,77,709,113,355,222,NA
Townsend,2021,E01009028,1314,666,76,625,92,319,201,NA
Townsend,2021,E01009029,1136,596,69,516,65,308,147,NA
Townsend,2021,E01009030,1443,837,44,622,36,460,112,NA
Townsend,2021,E01009031,1461,838,56,641,36,498,113,NA
Townsend,2021,E01009032,1476,812,59,587,53,472,85,NA
Townsend,2021,E01009033,1370,794,81,704,60,313,200,NA
Townsend,2021,E01009034,1396,784,36,554,40,456,69,NA
Townsend,2021,E01009035,1415,818,34,614,42,424,94,NA
Townsend,2021,E01009036,1261,700,34,538,31,437,70,NA
Townsend,2021,E01009037,1547,819,49,761,35,537,156,NA
Townsend,2021,E01009039,1371,780,45,650,21,549,67,NA
Townsend,2021,E01009040,1429,850,31,614,32,550,60,NA
Townsend,2021,E01009041,1357,797,23,638,36,506,80,NA
Townsend,2021,E01009042,1029,655,21,524,14,365,66,NA
Townsend,2021,E01009043,1535,759,62,602,79,389,147,NA
Townsend,2021,E01009044,1232,571,55,451,96,286,105,NA
Townsend,2021,E01009045,1583,772,62,703,68,495,191,NA
Townsend,2021,E01009046,1461,771,48,600,29,486,114,NA
Townsend,2021,E01009047,1411,661,133,555,100,195,243,NA
Townsend,2021,E01009048,1621,736,139,638,111,197,307,NA
Townsend,2021,E01009049,1329,700,85,575,59,356,199,NA
Townsend,2021,E01009050,1599,896,104,749,122,283,288,NA
Townsend,2021,E01009051,1343,604,73,544,101,216,234,NA
Townsend,2021,E01009053,1107,478,63,442,116,197,175,NA
Townsend,2021,E01009054,1270,609,54,436,76,325,105,NA
Townsend,2021,E01009056,1640,819,104,754,108,270,302,NA
Townsend,2021,E01009057,1456,659,113,628,118,229,295,NA
Townsend,2021,E01009058,1380,678,82,501,134,299,159,NA
Townsend,2021,E01009059,1358,610,91,572,112,160,266,NA
Townsend,2021,E01009060,1291,549,69,476,99,193,177,NA
Townsend,2021,E01009061,1360,617,100,455,98,247,159,NA
Townsend,2021,E01009062,1393,686,123,511,135,219,204,NA
Townsend,2021,E01009064,1155,647,63,596,36,315,177,NA
Townsend,2021,E01009065,1315,842,24,633,12,456,98,NA
Townsend,2021,E01009066,1608,804,30,876,16,589,253,NA
Townsend,2021,E01009067,1232,803,29,687,13,488,129,NA
Townsend,2021,E01009068,1327,863,30,727,17,368,238,NA
Townsend,2021,E01009069,1417,916,41,858,16,385,282,NA
Townsend,2021,E01009070,1293,787,34,677,13,473,138,NA
Townsend,2021,E01009071,1410,760,52,734,28,357,246,NA
Townsend,2021,E01009072,1510,988,46,850,28,470,252,NA
Townsend,2021,E01009073,1125,471,77,642,121,144,328,NA
Townsend,2021,E01009074,1297,648,90,708,66,187,299,NA
Townsend,2021,E01009075,1378,569,94,813,37,143,458,NA
Townsend,2021,E01009077,1273,734,45,692,19,442,158,NA
Townsend,2021,E01009078,1339,536,54,608,29,228,245,NA
Townsend,2021,E01009079,1004,546,71,486,57,238,169,NA
Townsend,2021,E01009080,858,434,56,405,65,133,150,NA
Townsend,2021,E01009081,1000,455,60,556,44,179,261,NA
Townsend,2021,E01009082,1066,552,47,498,46,301,124,NA
Townsend,2021,E01009083,1128,578,64,545,55,209,199,NA
Townsend,2021,E01009084,1470,750,64,529,68,385,76,NA
Townsend,2021,E01009085,1599,810,83,496,80,428,39,NA
Townsend,2021,E01009086,1661,796,69,630,68,423,131,NA
Townsend,2021,E01009087,1261,700,70,581,62,439,107,NA
Townsend,2021,E01009088,1271,608,49,689,31,393,203,NA
Townsend,2021,E01009089,1271,656,55,489,63,404,50,NA
Townsend,2021,E01009090,1591,786,63,536,87,401,101,NA
Townsend,2021,E01009091,1287,672,56,656,47,331,191,NA
Townsend,2021,E01009092,1228,641,95,615,86,209,199,NA
Townsend,2021,E01009093,1178,658,57,645,78,271,211,NA
Townsend,2021,E01009094,1160,640,63,548,58,280,162,NA
Townsend,2021,E01009095,1374,776,52,666,62,420,160,NA
Townsend,2021,E01009096,1352,740,75,779,39,272,294,NA
Townsend,2021,E01009097,1545,798,92,763,47,232,285,NA
Townsend,2021,E01009098,1661,920,67,932,40,411,312,NA
Townsend,2021,E01009099,1308,709,97,798,49,164,352,NA
Townsend,2021,E01009100,1597,921,62,816,34,418,237,NA
Townsend,2021,E01009101,1193,631,51,606,25,248,220,NA
Townsend,2021,E01009102,1203,680,63,647,55,304,222,NA
Townsend,2021,E01009103,1225,575,69,684,32,168,300,NA
Townsend,2021,E01009104,1235,696,74,622,62,300,199,NA
Townsend,2021,E01009105,1394,852,44,742,30,546,140,NA
Townsend,2021,E01009106,1109,644,50,576,19,388,153,NA
Townsend,2021,E01009107,1199,609,57,691,77,223,291,NA
Townsend,2021,E01009108,851,471,25,436,9,375,63,NA
Townsend,2021,E01009109,961,570,78,517,72,168,196,NA
Townsend,2021,E01009110,1083,607,65,605,43,295,199,NA
Townsend,2021,E01009111,1202,737,51,600,30,437,125,NA
Townsend,2021,E01009112,1320,719,53,633,14,404,170,NA
Townsend,2021,E01009113,1176,552,77,702,60,215,273,NA
Townsend,2021,E01009114,1147,594,56,649,37,310,230,NA
Townsend,2021,E01009115,1101,518,48,608,53,268,198,NA
Townsend,2021,E01009116,1142,605,13,569,4,513,94,NA
Townsend,2021,E01009117,1444,723,93,803,93,134,305,NA
Townsend,2021,E01009118,1266,680,54,678,34,405,192,NA
Townsend,2021,E01009119,1170,705,43,660,22,452,184,NA
Townsend,2021,E01009120,1377,832,46,771,32,496,189,NA
Townsend,2021,E01009122,1251,664,58,667,57,274,259,NA
Townsend,2021,E01009123,1212,704,64,612,52,323,174,NA
Townsend,2021,E01009124,1336,664,114,714,134,124,308,NA
Townsend,2021,E01009125,1564,798,82,683,62,374,215,NA
Townsend,2021,E01009126,1153,714,41,539,17,450,87,NA
Townsend,2021,E01009127,1145,617,69,569,51,254,186,NA
Townsend,2021,E01009128,1028,546,63,517,47,232,195,NA
Townsend,2021,E01009129,1185,674,87,566,49,245,201,NA
Townsend,2021,E01009130,1122,609,60,600,53,261,231,NA
Townsend,2021,E01009131,1107,617,52,508,60,268,170,NA
Townsend,2021,E01009132,1153,609,58,594,55,294,207,NA
Townsend,2021,E01009133,1138,614,63,599,40,270,243,NA
Townsend,2021,E01009134,1265,707,70,657,43,309,262,NA
Townsend,2021,E01009135,1198,616,23,594,8,481,97,NA
Townsend,2021,E01009136,1435,641,61,845,56,383,353,NA
Townsend,2021,E01009137,1205,683,106,586,48,313,203,NA
Townsend,2021,E01009138,1682,974,85,676,98,438,153,NA
Townsend,2021,E01009139,1282,719,62,556,80,295,177,NA
Townsend,2021,E01009140,1818,1042,70,839,70,460,259,NA
Townsend,2021,E01009141,1405,709,129,812,144,145,478,NA
Townsend,2021,E01009143,1332,653,112,752,153,95,414,NA
Townsend,2021,E01009145,1605,955,93,724,65,348,233,NA
Townsend,2021,E01009146,1817,641,84,775,51,98,474,NA
Townsend,2021,E01009147,1668,822,85,668,46,199,260,NA
Townsend,2021,E01009151,1532,735,80,622,147,318,246,NA
Townsend,2021,E01009152,1587,734,111,572,100,245,261,NA
Townsend,2021,E01009153,1713,880,141,821,116,213,391,NA
Townsend,2021,E01009155,1092,495,65,587,50,257,204,NA
Townsend,2021,E01009157,1113,531,46,614,49,250,243,NA
Townsend,2021,E01009158,1711,1049,70,895,38,421,210,NA
Townsend,2021,E01009159,1795,1168,54,913,25,648,177,NA
Townsend,2021,E01009160,1157,579,119,710,74,164,351,NA
Townsend,2021,E01009161,1129,557,36,611,44,307,188,NA
Townsend,2021,E01009162,1267,757,47,635,28,458,152,NA
Townsend,2021,E01009164,1145,658,37,624,21,432,153,NA
Townsend,2021,E01009165,1065,665,57,640,41,288,216,NA
Townsend,2021,E01009166,1011,615,48,570,27,297,182,NA
Townsend,2021,E01009167,1172,732,52,589,21,415,140,NA
Townsend,2021,E01009168,1216,767,28,651,14,546,114,NA
Townsend,2021,E01009169,1347,886,52,700,27,494,142,NA
Townsend,2021,E01009170,1206,775,29,633,14,525,102,NA
Townsend,2021,E01009171,1304,795,55,722,28,426,175,NA
Townsend,2021,E01009172,1094,610,55,555,38,273,195,NA
Townsend,2021,E01009173,1242,693,66,637,79,263,215,NA
Townsend,2021,E01009174,952,520,40,520,47,233,155,NA
Townsend,2021,E01009175,1164,799,38,588,24,392,138,NA
Townsend,2021,E01009176,1393,745,60,678,52,417,152,NA
Townsend,2021,E01009177,1214,780,52,631,37,444,181,NA
Townsend,2021,E01009178,1352,878,48,756,29,391,270,NA
Townsend,2021,E01009179,1347,771,48,639,29,486,134,NA
Townsend,2021,E01009182,1322,670,73,641,51,168,300,NA
Townsend,2021,E01009183,1314,820,32,580,26,439,76,NA
Townsend,2021,E01009184,1328,829,51,719,29,335,266,NA
Townsend,2021,E01009185,1473,802,53,764,31,447,175,NA
Townsend,2021,E01009186,1471,903,60,779,22,459,166,NA
Townsend,2021,E01009187,1245,701,50,648,17,402,145,NA
Townsend,2021,E01009188,1196,707,40,662,27,395,180,NA
Townsend,2021,E01009189,1146,675,32,590,18,438,106,NA
Townsend,2021,E01009192,2059,911,123,607,185,407,166,NA
Townsend,2021,E01009195,1902,833,124,673,176,370,194,NA
Townsend,2021,E01009197,1350,609,84,482,133,203,130,NA
Townsend,2021,E01009199,1019,589,70,539,81,182,207,NA
Townsend,2021,E01009200,1249,631,78,607,115,184,245,NA
Townsend,2021,E01009201,1418,635,111,711,136,250,318,NA
Townsend,2021,E01009202,1184,562,69,634,133,142,290,NA
Townsend,2021,E01009204,1503,592,104,710,153,107,388,NA
Townsend,2021,E01009205,1245,732,38,617,19,468,120,NA
Townsend,2021,E01009206,1283,734,36,648,12,531,132,NA
Townsend,2021,E01009207,1315,810,30,662,14,560,107,NA
Townsend,2021,E01009208,1375,904,29,703,15,554,120,NA
Townsend,2021,E01009209,1681,1012,55,942,35,482,285,NA
Townsend,2021,E01009210,1436,821,73,828,40,401,279,NA
Townsend,2021,E01009211,1232,761,46,680,20,526,138,NA
Townsend,2021,E01009212,1336,700,68,774,51,363,306,NA
Townsend,2021,E01009213,1324,661,53,752,27,498,219,NA
Townsend,2021,E01009214,1315,731,72,768,57,273,319,NA
Townsend,2021,E01009215,1414,665,100,935,73,296,469,NA
Townsend,2021,E01009216,1591,865,59,838,41,548,196,NA
Townsend,2021,E01009217,1310,785,21,661,15,541,101,NA
Townsend,2021,E01009218,1295,698,20,645,8,468,164,NA
Townsend,2021,E01009219,1160,680,40,607,23,399,191,NA
Townsend,2021,E01009220,1200,763,44,619,35,388,139,NA
Townsend,2021,E01009221,1223,742,42,594,28,447,121,NA
Townsend,2021,E01009222,1150,643,60,578,44,286,175,NA
Townsend,2021,E01009223,1312,778,46,689,17,462,158,NA
Townsend,2021,E01009224,1144,701,35,597,15,481,120,NA
Townsend,2021,E01009225,1303,648,55,744,44,392,256,NA
Townsend,2021,E01009226,1170,734,54,667,30,488,169,NA
Townsend,2021,E01009227,1343,836,44,708,17,517,128,NA
Townsend,2021,E01009228,1218,775,40,679,31,503,159,NA
Townsend,2021,E01009229,1240,777,43,656,25,513,136,NA
Townsend,2021,E01009230,1319,756,58,732,51,482,200,NA
Townsend,2021,E01009231,1568,875,59,775,30,635,154,NA
Townsend,2021,E01009232,1253,675,53,587,33,438,121,NA
Townsend,2021,E01009233,1149,647,58,622,46,321,172,NA
Townsend,2021,E01009234,1164,776,36,614,14,447,89,NA
Townsend,2021,E01009235,1321,778,52,627,38,490,111,NA
Townsend,2021,E01009236,1183,710,51,596,15,451,111,NA
Townsend,2021,E01009237,1123,641,58,581,53,343,175,NA
Townsend,2021,E01009238,1392,734,52,630,50,473,133,NA
Townsend,2021,E01009239,1199,607,69,559,62,213,216,NA
Townsend,2021,E01009240,1188,684,56,597,40,428,123,NA
Townsend,2021,E01009241,1310,786,58,592,49,436,96,NA
Townsend,2021,E01009242,1614,886,84,640,89,414,153,NA
Townsend,2021,E01009243,1403,880,38,731,37,537,113,NA
Townsend,2021,E01009244,1447,953,60,800,29,513,161,NA
Townsend,2021,E01009245,1189,652,25,572,32,414,122,NA
Townsend,2021,E01009246,1266,776,57,667,17,523,128,NA
Townsend,2021,E01009247,1253,785,57,585,29,450,94,NA
Townsend,2021,E01009248,1395,900,49,708,21,556,124,NA
Townsend,2021,E01009249,1290,773,55,645,26,466,137,NA
Townsend,2021,E01009250,1410,821,53,730,20,543,138,NA
Townsend,2021,E01009251,1215,773,43,622,11,510,90,NA
Townsend,2021,E01009252,1305,848,29,638,19,472,76,NA
Townsend,2021,E01009253,1321,806,53,627,21,478,113,NA
Townsend,2021,E01009254,1556,798,74,848,27,402,280,NA
Townsend,2021,E01009255,1200,693,56,624,36,373,187,NA
Townsend,2021,E01009256,1261,706,55,678,50,411,173,NA
Townsend,2021,E01009257,1232,697,53,616,33,320,182,NA
Townsend,2021,E01009258,1145,574,74,654,56,274,254,NA
Townsend,2021,E01009259,1298,666,90,716,69,263,321,NA
Townsend,2021,E01009260,1324,726,30,625,15,485,99,NA
Townsend,2021,E01009261,1423,818,48,728,23,562,134,NA
Townsend,2021,E01009262,1426,861,53,531,52,402,75,NA
Townsend,2021,E01009263,1309,671,86,626,53,294,227,NA
Townsend,2021,E01009264,1637,695,64,684,82,69,287,NA
Townsend,2021,E01009265,1460,720,72,592,58,319,190,NA
Townsend,2021,E01009266,1345,667,50,588,69,255,247,NA
Townsend,2021,E01009267,1510,795,47,597,45,403,122,NA
Townsend,2021,E01009268,1170,655,35,425,36,347,78,NA
Townsend,2021,E01009269,1070,525,64,503,82,174,243,NA
Townsend,2021,E01009270,1464,726,117,631,108,258,247,NA
Townsend,2021,E01009271,1221,580,75,512,95,250,183,NA
Townsend,2021,E01009272,1061,553,64,466,60,207,143,NA
Townsend,2021,E01009273,1243,600,74,495,75,280,184,NA
Townsend,2021,E01009274,1642,891,135,709,113,294,288,NA
Townsend,2021,E01009275,1325,599,97,500,114,202,239,NA
Townsend,2021,E01009276,1352,758,44,544,49,440,68,NA
Townsend,2021,E01009278,1395,872,49,543,36,441,53,NA
Townsend,2021,E01009279,1261,739,49,450,33,379,48,NA
Townsend,2021,E01009280,1398,852,29,750,25,432,164,NA
Townsend,2021,E01009281,1267,602,27,696,10,380,204,NA
Townsend,2021,E01009282,1456,729,58,698,30,343,236,NA
Townsend,2021,E01009283,1490,689,33,614,32,360,152,NA
Townsend,2021,E01009284,4021,767,71,993,72,304,420,NA
Townsend,2021,E01009286,2318,201,30,513,29,69,201,NA
Townsend,2021,E01009288,1189,482,42,450,10,283,101,NA
Townsend,2021,E01009289,2413,227,36,611,41,59,295,NA
Townsend,2021,E01009290,2395,162,28,528,19,33,246,NA
Townsend,2021,E01009291,1150,691,48,587,43,293,177,NA
Townsend,2021,E01009292,1275,781,36,665,15,471,166,NA
Townsend,2021,E01009293,1283,656,51,616,29,340,194,NA
Townsend,2021,E01009294,1495,839,55,806,38,439,229,NA
Townsend,2021,E01009295,1445,566,56,670,23,349,263,NA
Townsend,2021,E01009296,1209,684,54,586,24,282,212,NA
Townsend,2021,E01009297,1406,751,66,793,38,387,259,NA
Townsend,2021,E01009298,1136,647,78,579,58,232,205,NA
Townsend,2021,E01009299,1184,642,70,624,57,292,210,NA
Townsend,2021,E01009300,1353,735,78,720,94,282,255,NA
Townsend,2021,E01009301,1261,701,109,770,81,250,351,NA
Townsend,2021,E01009302,1244,617,42,612,21,471,147,NA
Townsend,2021,E01009303,1184,652,75,713,47,369,250,NA
Townsend,2021,E01009304,1420,864,78,801,62,410,235,NA
Townsend,2021,E01009305,1205,662,79,704,83,252,282,NA
Townsend,2021,E01009306,1356,674,54,709,31,381,227,NA
Townsend,2021,E01009307,1213,645,66,724,46,319,262,NA
Townsend,2021,E01009308,1373,775,68,761,71,323,255,NA
Townsend,2021,E01009309,1395,756,81,785,68,329,253,NA
Townsend,2021,E01009310,1487,830,74,810,80,387,262,NA
Townsend,2021,E01009311,1164,618,67,561,64,297,149,NA
Townsend,2021,E01009312,1295,779,38,616,22,488,89,NA
Townsend,2021,E01009313,1305,738,49,630,40,432,159,NA
Townsend,2021,E01009314,1507,836,73,750,47,450,206,NA
Townsend,2021,E01009315,1432,761,57,834,40,467,267,NA
Townsend,2021,E01009316,1530,949,63,787,45,525,176,NA
Townsend,2021,E01009317,1568,972,81,843,58,520,233,NA
Townsend,2021,E01009318,1262,789,40,636,19,552,113,NA
Townsend,2021,E01009319,1299,815,43,628,18,529,107,NA
Townsend,2021,E01009320,1343,810,44,655,26,490,111,NA
Townsend,2021,E01009321,1475,717,86,809,95,207,339,NA
Townsend,2021,E01009322,1341,740,80,731,76,293,269,NA
Townsend,2021,E01009323,1343,744,63,639,67,355,167,NA
Townsend,2021,E01009324,1411,774,35,715,17,591,131,NA
Townsend,2021,E01009325,1410,628,85,508,117,262,168,NA
Townsend,2021,E01009326,1476,683,98,556,117,322,153,NA
Townsend,2021,E01009327,1193,505,71,411,115,226,126,NA
Townsend,2021,E01009328,1814,722,94,512,171,370,123,NA
Townsend,2021,E01009329,1906,787,118,716,197,336,313,NA
Townsend,2021,E01009331,1709,814,124,584,160,360,188,NA
Townsend,2021,E01009332,1365,608,105,592,123,139,275,NA
Townsend,2021,E01009333,1068,448,68,402,135,196,160,NA
Townsend,2021,E01009334,1408,608,63,434,101,276,131,NA
Townsend,2021,E01009335,1446,659,71,486,118,315,148,NA
Townsend,2021,E01009337,1361,569,77,492,139,234,168,NA
Townsend,2021,E01009338,1284,532,80,428,133,200,160,NA
Townsend,2021,E01009339,1172,496,70,473,106,211,183,NA
Townsend,2021,E01009341,1159,522,63,528,108,168,212,NA
Townsend,2021,E01009342,1397,573,61,402,82,254,72,NA
Townsend,2021,E01009343,1282,562,89,490,135,216,215,NA
Townsend,2021,E01009344,1253,537,81,469,164,185,195,NA
Townsend,2021,E01009345,1644,552,79,499,118,139,241,NA
