lsoa21,ED91CD,prop_ED
E01008881,07CNFA11,0.16666666666666666
E01008881,07CNFA09,0.7777777777777778
E01008881,07CNFA04,0.14285714285714285
E01008881,07CNFA18,1
E01008881,07CNFA02,0.16666666666666666
E01008881,07CNFA08,0.16666666666666666
E01008881,07CNFA20,0.6
E01008882,07CNFA12,0.5
E01008882,07CNFA10,1
E01008882,07CNFA13,0.14285714285714285
E01008882,07CNFA14,1
E01008882,07CNFA11,0.16666666666666666
E01008883,07CNFA19,0.625
E01008883,07CNFA17,1
E01008883,07CNFA16,1
E01008883,07CNFA15,0.3333333333333333
E01008883,07CNFA28,0.1111111111111111
E01008883,07CNFA26,0.26666666666666666
E01008883,07CNFA27,0.2727272727272727
E01008884,07CNFA25,0.08695652173913043
E01008884,07CNFA23,0.6428571428571429
E01008884,07CNFA15,0.6666666666666666
E01008884,07CNFA26,0.6
E01008884,07CNFA12,0.5
E01008884,07CNFA13,0.8571428571428571
E01008884,07CNFA24,1
E01008885,07CNFA21,0.625
E01008885,07CNFA20,0.1
E01008885,07CNFA31,1
E01008885,07CNFA30,0.1
E01008885,07CNFA33,0.5
E01008885,07CNFA34,0.16666666666666666
E01008886,07CNFA19,0.125
E01008886,07CNFA22,1
E01008886,07CNFA21,0.375
E01008886,07CNFA30,0.6
E01008886,07CNFA20,0.3
E01008887,07CNFA25,0.043478260869565216
E01008887,07CNFA19,0.25
E01008887,07CNFA26,0.13333333333333333
E01008887,07CNFA28,0.7777777777777778
E01008887,07CNFA23,0.14285714285714285
E01008887,07CNFA29,1
E01008887,07CNFA27,0.7272727272727273
E01008887,07CNFA30,0.3
E01008888,07CNFA32,1
E01008888,07CNFA35,0.4
E01008888,07CNFA33,0.5
E01008888,07CNFA34,0.8333333333333334
E01008889,07CNFA25,0.782608695652174
E01008889,07CNFA37,0.42857142857142855
E01008889,07CNFA48,0.625
E01008889,07CNFA40,0.875
E01008889,07CNFA47,0.14285714285714285
E01008889,07CNFA49,0.2857142857142857
E01008890,07CNFA25,0.08695652173913043
E01008890,07CNFA28,0.1111111111111111
E01008890,07CNFA23,0.21428571428571427
E01008890,07CNFA37,0.5
E01008890,07CNFA41,0.9090909090909091
E01008890,07CNFA38,0.5
E01008890,07CNFA42,0.4
E01008891,07CNFA35,0.6
E01008891,07CNFA44,0.75
E01008891,07CNFA45,1
E01008891,07CNFA46,0.3
E01008892,07CNFA40,0.125
E01008892,07CNFA37,0.07142857142857142
E01008892,07CNFA39,1
E01008892,07CNFA47,0.5714285714285714
E01008892,07CNFA38,0.5
E01008893,07CNFA51,0.1111111111111111
E01008893,07CNFA52,0.4
E01008893,07CNFA50,0.5
E01008893,07CNFA43,1
E01008893,07CNFA41,0.09090909090909091
E01008893,07CNFA42,0.6
E01008894,07CNFA48,0.375
E01008894,07CNFA49,0.7142857142857143
E01008894,07CNFA51,0.8888888888888888
E01008894,07CNFA52,0.6
E01008894,07CNFA54,0.2857142857142857
E01008894,07CNFA47,0.2857142857142857
E01008895,07CNFA50,0.5
E01008895,07CNFA53,1
E01008895,07CNFA54,0.7142857142857143
E01008895,07CNFA46,0.7
E01008895,07CNFA44,0.25
E01008896,07CNFA02,0.8333333333333334
E01008896,07CNFA01,1
E01008896,07CNFA07,0.8
E01008896,07CNFA03,0.125
E01008897,07CNFA04,0.8571428571428571
E01008897,07CNFA03,0.875
E01008897,07CNFA08,0.8333333333333334
E01008897,07CNFA07,0.2
E01008897,07CNFA09,0.2222222222222222
E01008898,07CNFA11,0.6666666666666666
E01008898,07CNFA06,1
E01008898,07CNFA05,1
E01008899,07CNFB17,0.5263157894736842
E01008899,07CNFB08,0.5333333333333333
E01008899,07CNFB07,0.5
E01008899,07CNFB09,1
E01008899,07CNFB04,0.34615384615384615
E01008899,07CNFB03,0.2857142857142857
E01008899,07CNFB02,0.3333333333333333
E01008899,07CNFB15,1
E01008899,07CNFB16,0.42857142857142855
E01008899,07CNFB10,1
E01008901,07CNFB30,0.5172413793103449
E01008901,07CNFB20,0.2222222222222222
E01008901,07CNFB21,1
E01008901,07CNFB17,0.47368421052631576
E01008901,07CNFB16,0.5714285714285714
E01008901,07CNFB18,0.42857142857142855
E01008901,07CNFB14,0.2
E01008901,07CNFB04,0.07692307692307693
E01008901,07CNFB08,0.13333333333333333
E01008905,07CNFB24,0.8888888888888888
E01008905,07CNFB34,0.6666666666666666
E01008905,07CNFB35,0.42857142857142855
E01008905,07CNFB25,0.3
E01008906,07CNFB35,0.5714285714285714
E01008906,07CNFB26,0.1875
E01008906,07CNFB19,1
E01008906,07CNFB25,0.3
E01008906,07CNFB38,0.6666666666666666
E01008907,07CNFB32,0.625
E01008907,07CNFB22,1
E01008907,07CNFB23,1
E01008907,07CNFB24,0.1111111111111111
E01008907,07CNFB33,0.3076923076923077
E01008909,07CNFB26,0.0625
E01008909,07CNFB36,0.6666666666666666
E01008909,07CNFB39,0.875
E01008909,07CNFB44,0.4444444444444444
E01008909,07CNFB38,0.3333333333333333
E01008909,07CNFB40,0.2
E01008910,07CNFB30,0.4827586206896552
E01008910,07CNFB42,0.4528301886792453
E01008910,07CNFB43,1
E01008910,07CNFB29,1
E01008911,07CNFB46,0.3333333333333333
E01008911,07CNFB39,0.125
E01008911,07CNFB45,0.3
E01008911,07CNFB40,0.3
E01008911,07CNFB44,0.4444444444444444
E01008911,07CNFB47,0.25
E01008911,07CNFB50,0.4
E01008911,07CNFB51,0.3333333333333333
E01008913,07CNFB40,0.5
E01008913,07CNFB45,0.7
E01008913,07CNFB47,0.75
E01008913,07CNFB48,1
E01008913,07CNFB41,0.9285714285714286
E01008913,07CNFB42,0.11320754716981132
E01008915,07CNFB01,1
E01008915,07CNFB02,0.6666666666666666
E01008915,07CNFB03,0.7142857142857143
E01008915,07CNFB04,0.038461538461538464
E01008916,07CNFB04,0.5
E01008916,07CNFB07,0.5
E01008916,07CNFB08,0.26666666666666666
E01008917,07CNFC12,0.8888888888888888
E01008917,07CNFC17,0.25
E01008917,07CNFC21,0.3333333333333333
E01008917,07CNFC13,0.3333333333333333
E01008917,07CNFC14,0.16666666666666666
E01008918,07CNFC11,0.2727272727272727
E01008918,07CNFC09,0.8888888888888888
E01008918,07CNFC08,1
E01008918,07CNFC07,0.3333333333333333
E01008918,07CNFC05,0.375
E01008918,07CNFC03,0.14285714285714285
E01008918,07CNFC10,0.8
E01008919,07CNFC06,1
E01008919,07CNFC07,0.5555555555555556
E01008919,07CNFC05,0.25
E01008919,07CNFC37,1
E01008919,07CNFC31,0.25
E01008920,07CNFC11,0.7272727272727273
E01008920,07CNFC29,0.6666666666666666
E01008920,07CNFC32,0.125
E01008920,07CNFC30,0.6
E01008920,07CNFC27,0.2727272727272727
E01008920,07CNFC28,0.1111111111111111
E01008920,07CNFC12,0.1111111111111111
E01008921,07CNFC01,1
E01008921,07CNFC13,0.6666666666666666
E01008921,07CNFC14,0.8333333333333334
E01008921,07CNFC02,1
E01008923,07CNFC21,0.6666666666666666
E01008923,07CNFC17,0.75
E01008923,07CNFC27,0.5454545454545454
E01008923,07CNFC15,0.2222222222222222
E01008923,07CNFC18,0.5
E01008923,07CNFC22,0.3333333333333333
E01008923,07CNFC20,0.5454545454545454
E01008924,07CNFC39,0.2727272727272727
E01008924,07CNFC36,1
E01008924,07CNFC38,1
E01008924,07CNFC40,0.8
E01008924,07CNFC41,0.125
E01008924,07CNFC31,0.125
E01008925,07CNFC16,1
E01008925,07CNFC18,0.5
E01008925,07CNFC15,0.7777777777777778
E01008925,07CNFC19,0.3333333333333333
E01008927,07CNFC20,0.45454545454545453
E01008927,07CNFC23,0.625
E01008927,26JSFS01,0.5833333333333334
E01008927,07CNFC19,0.6666666666666666
E01008928,07CNFC24,1
E01008928,07CNFC23,0.375
E01008928,07CNFC22,0.6
E01008928,07CNFC26,0.6666666666666666
E01008928,07CNFC25,1
E01008928,26JSFS01,0.08333333333333333
E01008929,07CNFC39,0.7272727272727273
E01008929,07CNFC41,0.875
E01008929,07CNFC40,0.2
E01008929,07CNFC42,0.7777777777777778
E01008929,07CNFC43,0.3333333333333333
E01008930,07CNFC43,0.6666666666666666
E01008930,07CNFC46,1
E01008930,07CNFC47,1
E01008930,07CNFC45,1
E01008930,07CNFC44,1
E01008930,26JSFS02,0.14285714285714285
E01008931,07CNFC07,0.1111111111111111
E01008931,07CNFC05,0.375
E01008931,07CNFC04,1
E01008931,07CNFC09,0.1111111111111111
E01008931,07CNFC03,0.8571428571428571
E01008931,07CNFC10,0.2
E01008932,07CNFD01,0.5714285714285714
E01008932,07CNFD09,0.375
E01008932,07CNFD11,0.42857142857142855
E01008932,07CNFD08,0.5714285714285714
E01008932,07CNFD02,0.6666666666666666
E01008932,07CNFD12,0.1111111111111111
E01008933,07CNFD01,0.42857142857142855
E01008933,07CNFD03,1
E01008933,07CNFD10,0.45454545454545453
E01008933,07CNFD09,0.375
E01008933,07CNFD12,0.2222222222222222
E01008933,07CNFD02,0.3333333333333333
E01008934,07CNFD10,0.5454545454545454
E01008934,07CNFD09,0.25
E01008934,07CNFD13,1
E01008934,07CNFD12,0.2222222222222222
E01008934,07CNFD14,0.5
E01008935,07CNFD15,0.7777777777777778
E01008935,07CNFD11,0.5714285714285714
E01008935,07CNFD08,0.42857142857142855
E01008935,07CNFD20,0.125
E01008935,07CNFD16,0.1111111111111111
E01008935,07CNFD07,0.625
E01008935,07CNFD06,0.3
E01008936,07CNFD04,1
E01008936,07CNFD06,0.7
E01008936,07CNFD05,1
E01008936,07CNFD07,0.375
E01008937,07CNFD12,0.4444444444444444
E01008937,07CNFD14,0.5
E01008937,07CNFD15,0.2222222222222222
E01008937,07CNFD21,0.2
E01008937,07CNFD18,1
E01008937,07CNFD22,0.125
