year,lsoa21,prop_unemployed,prop_Overcrowded,prop_not_owned,prop_no_car,Townsend_index,Townsend_index_year,Overall_Quintile,Census_Quintile
2021,E01008881,2.3900274115977567,2.4846202399335433,43.986254295532646,28.350515463917525,0.36128273458148924,0.4016989149798229,3,3
2021,E01008882,2.3861211964359748,2.815630473498349,56.00000000000001,31.407407407407405,1.447647923837342,1.6734970030107197,4,4
2021,E01008883,2.633319229650752,2.7978180829164967,43.08176100628931,33.64779874213836,1.4444368313054268,1.7262387787839815,4,4
2021,E01008884,2.704944608544057,2.821194169235868,65.44428772919605,41.74894217207334,2.9793932005483215,3.663694621520899,4,5
2021,E01008885,1.7474698656892553,1.9621206773123558,19.92110453648915,17.357001972386588,-3.033088579097831,-3.7627037536909156,2,1
2021,E01008886,2.3966336021793304,1.7211768945781856,54.375896700143464,38.30703012912482,0.385631705400227,0.6982479741080544,3,3
2021,E01008887,2.4170529468313036,2.5659478597911263,47.07792207792208,31.980519480519483,0.8447836165783226,1.01017028294591,3,3
2021,E01008888,1.8502336017803216,1.0091486926349962,22.503961965134707,14.421553090332806,-4.135594558728324,-4.917764707068281,1,1
2021,E01008889,2.4716233814204456,2.5570405002331396,49.39759036144578,34.93975903614458,1.1904888113019028,1.466651687955345,3,4
2021,E01008890,2.1602803345296966,2.3291942017220104,43.96067415730337,26.825842696629216,-0.3218541259535158,-0.42955399916396064,3,3
2021,E01008891,1.8150508037073632,1.6239390031249004,36.09550561797753,23.314606741573034,-2.345092658620155,-2.7941981096635935,2,2
2021,E01008892,2.492532037431137,2.431790775946717,57.884231536926144,36.92614770459082,1.5289154159685239,1.9226478338978072,4,4
2021,E01008893,2.241067215200396,1.8732844429220572,42.14876033057851,30.71625344352617,-0.6218290029533426,-0.644870015231052,3,3
2021,E01008894,2.474494818863067,2.0810181383101667,67.74193548387096,46.14305750350631,1.975761876644358,2.632537242463869,4,4
2021,E01008895,1.956738466739751,1.8499461607935694,37.12418300653595,22.483660130718956,-1.8151107534611002,-2.1975110804784665,2,2
2021,E01008896,2.2043674648485996,2.909364293723439,49.02654867256637,29.02654867256637,0.831253259966869,0.8681259533801272,3,3
2021,E01008897,2.530065854983358,2.636623251334379,38.249594813614266,26.094003241491087,0.4335686121011393,0.4475883281780288,3,3
2021,E01008898,2.773619543895847,2.866567139310777,52.792792792792795,36.21621621621622,2.321136835564894,2.8090512685620475,4,4
2021,E01008899,2.9013675925706943,2.957082825769002,72.74725274725274,50.10989010989011,4.266435678053115,5.2981716671183285,5,5
2021,E01008901,2.830500689806089,2.953962860677696,61.81818181818181,42.31404958677686,3.248456862882785,3.9803112948241646,5,5
2021,E01008905,3.019678368222732,3.2482162062913873,49.897750511247445,36.400817995910025,3.1260147820656368,3.727649100442434,5,5
2021,E01008906,2.949188328463133,3.467857437161154,63.689320388349515,39.6116504854369,4.036807049260952,4.8054780910140575,5,5
2021,E01008907,3.1693291909020433,3.058230671576618,79.06602254428341,54.750402576489535,5.381927385483423,6.698859219917089,5,5
2021,E01008909,2.7370259070861933,3.327201088320287,66.0617059891107,35.208711433756804,3.339646981027377,3.923259732364186,5,5
2021,E01008910,3.068432722035534,3.4029975621663033,66.8918918918919,40.31531531531532,4.3317421558525036,5.193360643811997,5,5
2021,E01008911,2.954833682963077,3.232100395369189,87.12715855572999,50.23547880690737,5.312529490279948,6.505383993880844,5,5
2021,E01008913,2.9455070700556987,3.050621877188269,86.83083511777302,57.066381156316915,5.437098779449865,6.768541764605638,5,5
2021,E01008915,2.627641812164871,2.808179667342484,53.80434782608695,38.94927536231884,2.190176141512806,2.6789903948247415,4,4
2021,E01008916,2.680613292544,3.2028474326374536,59.62732919254658,43.064182194616976,3.260238437519838,3.9370182274324312,5,5
2021,E01008917,1.896176143381175,1.780187179397346,25.443786982248522,18.34319526627219,-2.7254532796745834,-3.3297852054321893,2,2
2021,E01008918,2.438200895190111,2.5674995660479913,65.283540802213,40.11065006915629,2.0944291561033714,2.60455753377888,4,4
2021,E01008919,2.1136038550844503,2.1824925254681093,46.924177396280406,29.0414878397711,-0.3429720386145089,-0.40531092001690605,3,3
2021,E01008920,1.8884284767674229,1.5339303599259553,23.09090909090909,19.636363636363637,-3.0786430928906374,-3.6903225694612884,2,1
2021,E01008921,2.2755095063887643,2.1438298111455745,40.22435897435898,26.282051282051285,-0.545407898012986,-0.6543338448113407,3,3
2021,E01008923,2.6509336536665713,2.4021675663943856,61.38147566718995,43.17111459968603,2.261518738096686,2.8965546894591214,4,4
2021,E01008924,1.9508241638577424,1.8935084554834545,38.24451410658307,28.683385579937305,-1.3733594070584108,-1.6056327673744848,2,2
2021,E01008925,1.8534728227796864,1.0181874953481573,12.180746561886052,15.12770137524558,-4.505171773663028,-5.354320982145158,1,1
2021,E01008927,2.8263946515385476,2.0838288881094615,63.484087102177554,40.368509212730316,2.0854503269744185,2.7358210257639226,4,4
2021,E01008928,2.471412751873228,2.03688192726104,69.65986394557822,41.36054421768707,1.7232624835875943,2.283077809370203,4,4
2021,E01008929,2.495693016074497,2.1786936956345833,72.50712250712252,42.592592592592595,2.134106915203466,2.7644538576059596,4,4
2021,E01008930,2.016582282061985,1.624608873441907,45.095541401273884,19.10828025477707,-1.861533447405249,-2.2406080849503396,2,2
2021,E01008931,2.284252284455756,2.4223992373715673,56.34028892455859,36.597110754414125,1.0747121741477808,1.35302950445685,3,3
2021,E01008932,2.2907232886594087,2.2797855437064793,51.8910741301059,33.88804841149773,0.566414005316258,0.7413143185338009,3,3
